t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
329.992,43157.9,7128.94,8484.14,4.40306,3546.1406418148745,0
329.992,45263.2,7128.94,8484.13,4.40306,3546.1406418148745,0
329.992,47368.4,7128.94,8484.12,4.40306,3546.1406418148745,0
329.992,49473.7,7128.94,8484.1,4.40306,3546.1406418148745,0
329.992,51578.9,7128.94,8484.09,4.40306,3546.1406418148745,0
329.992,53684.2,7128.94,8484.07,4.40306,3546.1406418148745,0
329.992,55789.5,7128.94,8484.06,4.40306,3546.1406418148745,0
329.992,57894.7,7128.94,8484.05,4.40306,3546.1406418148745,0
329.992,60000.0,7128.94,8484.03,4.40306,3546.1406418148745,0
331.571,20000.0,7128.94,8464.92,4.40306,3541.860492607317,0
331.571,22105.3,7128.94,8464.9,4.40306,3541.860492607317,0
331.571,24210.5,7128.94,8464.89,4.40306,3541.860492607317,0
331.571,26315.8,7128.94,8464.88,4.40306,3541.860492607317,0
331.571,28421.1,7128.94,8464.86,4.40306,3541.860492607317,0
331.571,30526.3,7128.94,8464.85,4.40306,3541.860492607317,0
331.571,32631.6,7128.94,8464.83,4.40306,3541.860492607317,0
331.571,34736.8,7128.94,8464.82,4.40306,3541.860492607317,0
331.571,36842.1,7128.94,8464.81,4.40306,3541.860492607317,0
331.571,38947.4,7128.94,8464.79,4.40306,3541.860492607317,0
331.571,41052.6,7128.94,8464.78,4.40306,3541.860492607317,0
331.571,43157.9,7128.94,8464.76,4.40306,3541.860492607317,0
331.571,45263.2,7128.94,8464.75,4.40306,3541.860492607317,0
331.571,47368.4,7128.94,8464.74,4.40306,3541.860492607317,0
331.571,49473.7,7128.94,8464.72,4.40306,3541.860492607317,0
331.571,51578.9,7128.94,8464.71,4.40306,3541.860492607317,0
331.571,53684.2,7128.94,8464.7,4.40306,3541.860492607317,0
331.571,55789.5,7128.94,8464.68,4.40306,3541.860492607317,0
331.571,57894.7,7128.94,8464.67,4.40306,3541.860492607317,0
331.571,60000.0,7128.94,8464.65,4.40306,3541.860492607317,0
333.15,20000.0,7128.94,8445.47,4.40306,3537.58034339976,0
333.15,22105.3,7128.94,8445.46,4.40306,3537.58034339976,0
333.15,24210.5,7128.94,8445.44,4.40306,3537.58034339976,0
333.15,26315.8,7128.94,8445.43,4.40306,3537.58034339976,0
333.15,28421.1,7128.94,8445.41,4.40306,3537.58034339976,0
333.15,30526.3,7128.94,8445.4,4.40306,3537.58034339976,0
333.15,32631.6,7128.94,8445.39,4.40306,3537.58034339976,0
